,mus_1000,mus_0500,mus_0250,mus_0125,add_1000,add_0500,add_0250,add_0125
0,True,False,False,True,True,True,True,False
1,True,True,False,False,False,False,False,False
2,True,True,True,True,False,False,True,False
3,True,True,True,True,False,False,True,False
4,True,True,False,False,False,False,False,False
5,True,True,True,False,False,False,False,False
6,True,True,False,False,False,False,False,False
7,False,False,False,False,False,True,True,False
8,True,True,True,True,True,False,False,False
9,True,False,False,False,False,False,True,False
10,True,True,True,False,True,False,True,False
11,False,False,False,False,False,False,False,False
12,False,True,True,False,False,True,True,False
13,False,False,False,False,False,False,True,False
14,True,True,True,False,False,False,True,False
15,True,True,False,False,True,False,False,False
16,True,False,False,False,False,False,False,False
17,True,False,False,False,False,False,False,False
18,True,True,True,True,False,False,True,False
19,True,True,True,False,False,False,False,False
20,True,True,True,True,False,False,False,False
21,True,True,True,False,False,False,False,False
22,True,True,True,False,True,True,True,False
23,False,False,False,False,False,False,False,True
24,True,True,True,True,False,False,False,True
25,True,True,False,False,False,False,True,False
26,False,False,True,False,False,True,True,False
27,True,True,False,False,False,False,True,True
28,True,True,True,True,False,False,False,False
29,False,False,False,False,True,False,False,False
30,False,False,False,False,False,False,False,False
31,True,True,True,True,True,False,True,False
32,True,True,True,False,False,False,False,False
33,False,False,False,False,False,False,False,False
34,True,True,True,False,False,False,False,False
35,True,True,False,False,False,False,False,False
36,True,True,True,True,True,True,True,False
37,True,True,True,True,True,False,False,False
38,False,False,False,False,False,False,False,False
39,False,False,False,False,True,False,False,False
40,True,True,False,False,False,False,True,False
41,True,True,False,True,False,True,True,True
42,True,True,False,False,False,False,False,False
43,True,True,False,False,False,False,False,False
44,True,True,False,False,True,False,False,True
45,False,True,False,False,False,False,True,False
46,True,True,True,True,False,False,False,False
47,False,True,True,False,False,True,True,True
48,True,True,False,False,False,True,False,False
49,True,True,True,True,False,False,False,False
50,True,True,True,False,False,True,True,False
51,True,True,True,False,False,False,False,False
52,True,True,True,True,True,False,False,False
53,True,True,True,False,False,False,False,False
54,True,False,True,False,True,False,False,True
55,True,True,True,False,False,True,False,False
56,True,True,True,False,False,False,True,False
57,False,True,False,False,False,False,False,False
58,False,False,False,False,False,False,False,True
59,False,False,True,False,False,True,True,False
60,True,True,True,True,False,True,False,False
61,True,False,False,False,False,False,False,False
62,True,True,True,True,False,True,True,False
63,True,False,False,False,False,True,True,False
64,False,True,True,True,False,False,False,False
65,True,True,False,False,False,False,False,False
66,False,False,False,False,False,False,False,False
67,True,True,True,True,False,False,False,False
68,True,True,True,True,True,False,True,False
69,True,True,True,False,True,True,False,True
70,True,True,True,True,False,False,True,False
71,False,False,False,False,False,False,True,False
72,True,True,True,True,False,False,False,False
73,False,True,True,False,True,False,False,True
74,False,False,False,False,True,False,True,True
75,True,True,False,False,False,True,False,False
76,False,False,False,False,False,True,False,False
77,True,True,True,True,False,True,False,False
78,False,False,False,False,False,False,False,False
79,True,True,True,True,False,False,False,False
80,True,False,False,False,False,True,False,False
81,False,False,True,True,False,True,False,False
82,True,True,True,True,False,False,False,False
83,True,True,True,True,False,False,False,False
84,False,False,False,False,False,False,True,False
85,True,True,True,False,False,True,False,True
86,True,True,True,True,False,True,True,False
87,True,True,True,True,False,True,False,False
88,False,False,True,True,False,True,False,False
89,False,False,False,False,False,True,False,False
90,False,True,False,False,False,False,False,False
91,True,True,True,True,False,False,False,False
92,True,False,False,False,False,True,True,False
93,True,True,True,False,False,True,False,False
94,False,False,False,False,False,False,True,False
95,False,False,False,False,False,False,False,False
96,True,True,True,True,False,False,True,False
97,True,True,True,True,False,True,True,True
98,True,True,True,False,False,True,False,False
99,False,False,False,False,False,True,False,False
100,True,False,False,False,False,True,False,True
101,True,True,True,True,False,True,True,False
102,False,False,False,True,False,True,True,False
103,True,True,True,True,False,False,False,False
104,True,True,True,False,False,False,False,False
105,True,True,True,False,False,False,False,False
106,True,True,True,False,False,False,False,False
107,True,False,False,True,True,False,True,True
108,True,True,True,True,False,False,True,False
109,True,True,True,True,False,False,True,True
110,False,True,True,True,False,False,False,False
111,True,False,False,False,False,False,True,False
112,True,True,True,True,False,False,False,False
113,False,False,False,False,False,False,False,False
114,False,False,False,False,True,True,False,False
115,True,True,True,False,False,False,False,False
116,False,False,False,False,False,True,False,True
117,True,False,False,False,False,False,True,True
118,True,True,True,False,False,False,False,False
119,False,True,False,False,False,False,True,False
120,True,False,False,False,False,False,False,False
121,True,True,False,False,True,False,False,False
122,True,True,False,False,False,False,True,False
123,False,False,True,False,True,False,True,False
124,True,True,True,False,False,False,True,True
125,True,True,False,True,True,True,False,False
126,False,False,False,False,False,True,False,False
127,False,False,False,False,False,False,False,False
128,True,True,True,False,False,True,True,False
129,True,True,True,False,False,False,False,False
130,False,False,False,False,True,False,False,False
131,True,True,False,False,True,True,True,True
132,True,True,True,True,False,False,True,False
133,False,False,False,False,False,True,False,False
134,False,False,False,False,False,True,False,False
135,True,True,False,False,True,False,False,False
136,False,False,False,False,False,False,False,False
137,True,True,True,True,True,True,True,True
138,True,True,True,False,False,True,True,False
139,True,True,True,True,False,False,False,False
140,False,False,False,False,False,True,False,False
141,True,False,False,True,False,False,True,True
142,True,True,True,True,False,False,True,False
143,True,True,True,True,False,False,False,False
144,True,True,True,True,False,False,True,False
145,False,False,False,True,False,False,True,True
146,False,False,False,True,False,True,False,False
147,True,True,True,True,False,True,True,False
148,True,True,True,True,False,True,False,False
149,True,True,False,False,False,False,False,False
150,True,False,False,False,True,False,True,False
151,True,True,True,True,True,False,False,True
152,False,False,False,False,False,False,False,False
153,True,True,True,True,False,True,True,True
154,False,False,False,False,False,False,False,False
155,True,True,True,True,False,True,True,False
156,True,True,True,False,False,True,True,False
157,True,True,True,True,False,False,False,False
158,True,True,True,True,False,True,False,False
159,False,False,False,False,False,False,True,False
160,True,True,True,True,False,False,True,False
161,True,True,True,True,True,False,False,False
162,True,True,True,False,False,False,True,False
163,False,False,False,False,False,True,False,False
164,True,True,True,True,False,True,False,True
165,False,True,True,True,True,False,False,True
166,True,True,True,False,True,False,False,True
167,False,False,False,False,False,False,False,False
168,True,False,False,False,False,False,False,False
169,True,True,True,True,False,False,False,False
170,False,False,False,False,True,True,False,False
171,True,True,True,True,True,False,True,True
172,True,True,True,False,False,False,True,False
173,True,False,False,True,False,False,True,False
174,False,True,False,True,False,False,False,False
175,True,True,True,False,False,False,False,False
176,True,True,True,True,True,True,True,False
177,True,True,False,True,False,True,False,False
178,True,True,False,True,False,False,False,False
179,True,True,False,False,False,False,True,False
180,True,False,False,False,False,True,True,False
181,True,True,True,False,False,False,True,False
182,True,True,True,True,False,True,True,False
183,True,True,True,True,False,False,False,False
184,True,True,True,False,False,True,False,False
185,False,False,False,False,False,False,False,False
186,True,True,True,True,False,True,False,False
187,False,False,False,False,False,True,False,True
188,True,True,False,False,False,False,False,False
189,True,True,True,True,True,False,False,False
190,False,False,False,True,False,False,True,False
191,True,True,True,False,False,False,False,False
192,True,False,False,False,False,False,False,True
193,False,False,False,False,False,False,False,False
194,True,True,True,True,True,True,True,False
195,True,True,False,False,False,False,False,True
196,True,False,False,False,True,False,False,False
197,True,True,True,False,True,True,True,True
198,True,True,True,True,False,True,False,False
199,True,True,True,True,False,False,True,False
200,True,True,True,False,False,True,False,False
201,False,True,False,False,True,True,True,False
202,True,True,False,True,False,True,True,False
203,False,False,False,False,False,True,False,False
204,True,True,False,False,True,True,False,False
205,False,True,False,False,False,False,False,False
206,True,True,True,False,True,False,False,False
207,False,False,False,False,False,False,False,False
208,True,True,True,True,False,False,False,False
209,True,True,True,True,False,False,False,False
210,True,False,False,False,False,False,False,False
211,True,True,False,False,False,False,False,False
212,False,False,False,False,True,True,False,False
213,False,False,False,False,False,False,False,False
214,True,True,False,False,False,False,True,True
215,True,True,True,False,False,False,True,False
216,False,False,False,False,False,False,False,False
217,True,True,False,False,False,False,False,False
218,True,True,True,True,False,True,False,False
219,True,True,True,False,False,True,True,False
220,True,False,False,True,True,False,True,False
221,True,True,True,False,False,False,False,False
222,False,False,False,False,False,False,False,False
223,True,True,True,True,True,False,False,True
224,True,True,True,True,True,True,False,False
225,False,False,False,False,False,False,False,False
226,True,True,False,False,False,False,False,False
227,False,False,False,False,False,False,False,False
228,True,True,True,True,False,False,False,False
229,True,True,True,False,False,False,True,False
230,True,False,False,False,False,False,True,False
231,True,True,True,False,False,False,True,False
232,True,True,True,False,False,False,False,False
233,True,True,False,False,False,True,True,True
234,False,False,False,False,False,True,True,True
235,True,True,False,False,False,False,True,False
236,True,True,False,False,False,True,False,False
237,True,False,True,True,False,True,False,False
238,True,True,True,True,False,False,False,False
239,True,True,True,True,False,False,False,False
240,True,False,False,False,False,False,False,False
241,False,False,False,False,False,False,False,False
242,True,True,True,False,False,False,True,False
243,True,True,False,False,False,False,False,True
244,True,True,False,False,False,False,False,True
245,True,True,True,True,True,True,True,False
246,True,True,True,False,False,False,False,False
247,True,False,False,False,False,False,False,False
248,True,True,True,True,False,True,True,False
249,True,True,True,True,False,False,False,False
